FL_DATE,UNIQUE_CARRIER,FL_NUM,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
1/1/2015,AA,1263,ORD,"Chicago, IL",IL,MIA,"Miami, FL",FL,1345,1614,149,1750,2020,150,0,0,185,186,1197,11,0,1,0,138
1/1/2015,AA,1264,MIA,"Miami, FL",FL,MCO,"Orlando, FL",FL,2135,2133,-2,2239,2239,0,0,0,64,66,192,,,,,
1/1/2015,AA,1265,CMH,"Columbus, OH",OH,LAX,"Los Angeles, CA",CA,1840,1835,-5,2050,2022,-28,0,0,310,287,1995,,,,,
1/1/2015,AA,1265,LAX,"Los Angeles, CA",CA,CMH,"Columbus, OH",OH,1035,1033,-2,1755,1736,-19,0,0,260,243,1995,,,,,
1/1/2015,AA,1266,MIA,"Miami, FL",FL,RDU,"Raleigh/Durham, NC",NC,915,914,-1,1120,1122,2,0,0,125,128,700,,,,,
1/1/2015,AA,1266,RDU,"Raleigh/Durham, NC",NC,MIA,"Miami, FL",FL,1230,1221,-9,1437,1417,-20,0,0,127,116,700,,,,,
1/1/2015,AA,1267,TPA,"Tampa, FL",FL,ORD,"Chicago, IL",IL,745,747,2,935,941,6,0,0,170,174,1012,,,,,
1/1/2015,AA,1268,TPA,"Tampa, FL",FL,MIA,"Miami, FL",FL,1000,1000,0,1106,1106,0,0,0,66,66,204,,,,,
1/1/2015,AA,1269,DFW,"Dallas/Fort Worth, TX",TX,DTW,"Detroit, MI",MI,1325,1325,0,1655,1644,-11,0,0,150,139,986,,,,,
1/1/2015,AA,1269,DTW,"Detroit, MI",MI,DFW,"Dallas/Fort Worth, TX",TX,1740,1729,-11,1945,1951,6,0,0,185,202,986,,,,,
1/1/2015,AA,1271,DFW,"Dallas/Fort Worth, TX",TX,SNA,"Santa Ana, CA",CA,1015,1109,54,1130,1221,51,0,0,195,192,1205,51,0,0,0,0
1/1/2015,AA,1271,SNA,"Santa Ana, CA",CA,DFW,"Dallas/Fort Worth, TX",TX,1215,1307,52,1705,1804,59,0,0,170,177,1205,1,0,7,0,51
1/1/2015,AA,1273,IAH,"Houston, TX",TX,MIA,"Miami, FL",FL,950,1120,90,1310,1439,89,0,0,140,139,964,0,0,0,0,89
1/1/2015,AA,1273,MIA,"Miami, FL",FL,IAH,"Houston, TX",TX,700,823,83,858,1050,112,0,0,178,207,964,83,0,29,0,0
1/1/2015,AA,1274,SAT,"San Antonio, TX",TX,DFW,"Dallas/Fort Worth, TX",TX,805,,,915,,,1,0,70,,247,,,,,
1/1/2015,AA,1275,JFK,"New York, NY",NY,STT,"Charlotte Amalie, VI",VI,800,755,-5,1255,1235,-20,0,0,235,220,1623,,,,,
1/1/2015,AA,1275,STT,"Charlotte Amalie, VI",VI,JFK,"New York, NY",NY,1400,1340,-20,1725,1712,-13,0,0,265,272,1623,,,,,
1/1/2015,AA,1341,MIA,"Miami, FL",FL,DFW,"Dallas/Fort Worth, TX",TX,2130,2126,-4,2338,2336,-2,0,0,188,190,1121,,,,,
1/1/2015,AA,1343,CLT,"Charlotte, NC",NC,DFW,"Dallas/Fort Worth, TX",TX,1035,1033,-2,1235,1246,11,0,0,180,193,936,,,,,
1/1/2015,AA,1343,DFW,"Dallas/Fort Worth, TX",TX,CLT,"Charlotte, NC",NC,625,618,-7,945,927,-18,0,0,140,129,936,,,,,
1/1/2015,AA,1344,DEN,"Denver, CO",CO,DFW,"Dallas/Fort Worth, TX",TX,1735,1850,75,2030,2229,119,0,0,115,159,641,0,35,44,0,40
1/1/2015,AA,1344,DFW,"Dallas/Fort Worth, TX",TX,DEN,"Denver, CO",CO,1555,1642,47,1655,1735,40,0,0,120,113,641,37,0,0,0,3
1/1/2015,AA,1345,TUL,"Tulsa, OK",OK,DFW,"Dallas/Fort Worth, TX",TX,600,556,-4,715,704,-11,0,0,75,68,237,,,,,
1/1/2015,AA,1346,DFW,"Dallas/Fort Worth, TX",TX,CMH,"Columbus, OH",OH,1810,1834,24,2125,2146,21,0,0,135,132,926,0,0,0,0,21
1/1/2015,AA,1347,DFW,"Dallas/Fort Worth, TX",TX,DSM,"Des Moines, IA",IA,1440,1506,26,1630,1638,8,0,0,110,92,624,,,,,
1/1/2015,AA,1347,DSM,"Des Moines, IA",IA,DFW,"Dallas/Fort Worth, TX",TX,1710,1709,-1,1915,1927,12,0,0,125,138,624,,,,,
1/1/2015,AA,1349,MSY,"New Orleans, LA",LA,DFW,"Dallas/Fort Worth, TX",TX,635,,,815,,,1,0,100,,447,,,,,
1/1/2015,AA,1350,STT,"Charlotte Amalie, VI",VI,MIA,"Miami, FL",FL,900,845,-15,1059,1032,-27,0,0,179,167,1107,,,,,
1/1/2015,AA,1351,LAX,"Los Angeles, CA",CA,MCO,"Orlando, FL",FL,2220,2213,-7,550,553,3,0,0,270,280,2218,,,,,
1/1/2015,AA,1352,STL,"St. Louis, MO",MO,ORD,"Chicago, IL",IL,830,923,53,950,1023,33,0,0,80,60,258,33,0,0,0,0
1/1/2015,AA,1354,DFW,"Dallas/Fort Worth, TX",TX,MCO,"Orlando, FL",FL,700,655,-5,1030,1019,-11,0,0,150,144,985,,,,,
1/1/2015,AA,1354,MCO,"Orlando, FL",FL,DFW,"Dallas/Fort Worth, TX",TX,1115,1109,-6,1310,1313,3,0,0,175,184,985,,,,,
1/1/2015,AA,1355,BOS,"Boston, MA",MA,MIA,"Miami, FL",FL,1910,1905,-5,2243,2236,-7,0,0,213,211,1258,,,,,
1/1/2015,AA,1355,MIA,"Miami, FL",FL,BOS,"Boston, MA",MA,1505,1458,-7,1818,1805,-13,0,0,193,187,1258,,,,,
1/1/2015,AA,1356,AUS,"Austin, TX",TX,DFW,"Dallas/Fort Worth, TX",TX,905,901,-4,1015,959,-16,0,0,70,58,190,,,,,
1/1/2015,AA,1276,DFW,"Dallas/Fort Worth, TX",TX,RIC,"Richmond, VA",VA,1840,2012,92,2220,2337,77,0,0,160,145,1158,0,2,0,0,75
1/1/2015,AA,1277,CLT,"Charlotte, NC",NC,MIA,"Miami, FL",FL,2210,2210,0,13,8,-5,0,0,123,118,650,,,,,
1/1/2015,AA,1278,DFW,"Dallas/Fort Worth, TX",TX,DTW,"Detroit, MI",MI,745,741,-4,1120,1104,-16,0,0,155,143,986,,,,,
1/1/2015,AA,1278,DTW,"Detroit, MI",MI,DFW,"Dallas/Fort Worth, TX",TX,1200,1156,-4,1400,1404,4,0,0,180,188,986,,,,,
1/1/2015,AA,1279,DFW,"Dallas/Fort Worth, TX",TX,OMA,"Omaha, NE",NE,835,838,3,1020,1006,-14,0,0,105,88,583,,,,,
